Geo_ID,Geo_Name
999,United States
35620,"New York-Newark-Jersey City, NY-NJ-PA"
31080,"Los Angeles-Long Beach-Anaheim, CA"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
19100,"Dallas-Fort Worth-Arlington, TX"
26420,"Houston-The Woodlands-Sugar Land, TX"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
12060,"Atlanta-Sandy Springs-Alpharetta, GA"
38060,"Phoenix-Mesa-Chandler, AZ"
14460,"Boston-Cambridge-Newton, MA-NH"
41860,"San Francisco-Oakland-Berkeley, CA"
40140,"Riverside-San Bernardino-Ontario, CA"
19820,"Detroit-Warren-Dearborn, MI"
42660,"Seattle-Tacoma-Bellevue, WA"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
41740,"San Diego-Chula Vista-Carlsbad, CA"
45300,"Tampa-St. Petersburg-Clearwater, FL"
19740,"Denver-Aurora-Lakewood, CO"
41180,"St. Louis, MO-IL"
12580,"Baltimore-Columbia-Towson, MD"
16740,"Charlotte-Concord-Gastonia, NC-SC"
36740,"Orlando-Kissimmee-Sanford, FL"
41700,"San Antonio-New Braunfels, TX"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
40900,"Sacramento-Roseville-Folsom, CA"
38300,"Pittsburgh, PA"
12420,"Austin-Round Rock-Georgetown, TX"
29820,"Las Vegas-Henderson-Paradise, NV"
17140,"Cincinnati, OH-KY-IN"
28140,"Kansas City, MO-KS"
18140,"Columbus, OH"
26900,"Indianapolis-Carmel-Anderson, IN"
17460,"Cleveland-Elyria, OH"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
39300,"Providence-Warwick, RI-MA"
27260,"Jacksonville, FL"
33340,"Milwaukee-Waukesha, WI"
36420,"Oklahoma City, OK"
39580,"Raleigh-Cary, NC"
32820,"Memphis, TN-MS-AR"
40060,"Richmond, VA"
31140,"Louisville/Jefferson County, KY-IN"
35380,"New Orleans-Metairie, LA"
41620,"Salt Lake City, UT"
25540,"Hartford-East Hartford-Middletown, CT"
15380,"Buffalo-Cheektowaga, NY"
13820,"Birmingham-Hoover, AL"
40380,"Rochester, NY"
24340,"Grand Rapids-Kentwood, MI"
46060,"Tucson, AZ"
23420,"Fresno, CA"
46140,"Tulsa, OK"
46520,"Urban Honolulu, HI"
36540,"Omaha-Council Bluffs, NE-IA"
49340,"Worcester, MA-CT"
14860,"Bridgeport-Stamford-Norwalk, CT"
10740,"Albuquerque, NM"
24860,"Greenville-Anderson, SC"
10580,"Albany-Schenectady-Troy, NY"
12540,"Bakersfield, CA"
32580,"McAllen-Edinburg-Mission, TX"
12940,"Baton Rouge, LA"
21340,"El Paso, TX"
28940,"Knoxville, TN"
35300,"New Haven-Milford, CT"
17900,"Columbia, SC"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
37100,"Oxnard-Thousand Oaks-Ventura, CA"
35840,"North Port-Sarasota-Bradenton, FL"
16700,"Charleston-North Charleston, SC"
19430,"Dayton-Kettering, OH"
14260,"Boise City, ID"
24660,"Greensboro-High Point, NC"
44700,"Stockton, CA"
17820,"Colorado Springs, CO"
15980,"Cape Coral-Fort Myers, FL"
30780,"Little Rock-North Little Rock-Conway, AR"
19780,"Des Moines-West Des Moines, IA"
44140,"Springfield, MA"
10420,"Akron, OH"
29460,"Lakeland-Winter Haven, FL"
36260,"Ogden-Clearfield, UT"
39100,"Poughkeepsie-Newburgh-Middletown, NY"
39340,"Provo-Orem, UT"
49180,"Winston-Salem, NC"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
31540,"Madison, WI"
45060,"Syracuse, NY"
20500,"Durham-Chapel Hill, NC"
48620,"Wichita, KS"
45780,"Toledo, OH"
12260,"Augusta-Richmond County, GA-SC"
37340,"Palm Bay-Melbourne-Titusville, FL"
27140,"Jackson, MS"
44060,"Spokane-Spokane Valley, WA"
25420,"Harrisburg-Carlisle, PA"
16860,"Chattanooga, TN-GA"
42540,"Scranton--Wilkes-Barre, PA"
38860,"Portland-South Portland, ME"
29620,"Lansing-East Lansing, MI"
29540,"Lancaster, PA"
33700,"Modesto, CA"
49660,"Youngstown-Warren-Boardman, OH-PA"
22220,"Fayetteville-Springdale-Rogers, AR"
22180,"Fayetteville, NC"
30460,"Lexington-Fayette, KY"
37860,"Pensacola-Ferry Pass-Brent, FL"
29180,"Lafayette, LA"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
39900,"Reno, NV"
